
************************************************************************************************************************************************
Start to print log. Process ID[8763]
03:04:52.192|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 8, Accompany already exit 
03:04:52.192|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 9, Accompany already exit 
03:04:52.192|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 10, Accompany already exit 
03:04:52.192|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 0, Accompany already exit 
03:06:46.915|E|8836   |GMESes|Init           |Session Init [48000, 32, 8, 1, 1] [2, 1, 3]
03:06:46.915|E|8836   |Entry |RefPlayout     |refPlayout[1] current[0,0]
03:06:46.915|E|8836   |Entry |EnablePlayout  |playout[1]
03:06:46.919|E|8838   |Device|SetScene       |scene[7]
03:06:46.919|E|8838   |Device|InitAudEngine  |
03:06:46.922|E|8838   |TRAE  |StartEngine    |StartEngine, AudioDeviceGetStat: 2
03:06:46.933|E|8838   |TRAE  |onEngineStart  |CALL isEngineReady:N isJitterReady:Y isCapReady:N isRndReady:N 
03:06:46.933|E|8838   |TRAE  |EnableMic      |[CQTTopo]EnableMic: off 
03:06:46.933|E|8838   |TRAE  |EnableSpeaker  |[CQTTopo]EnableSpeaker: on 
03:06:46.933|E|9778   |GMEJav|nativeWriteLog |[TRAEJava]call_preprocess_media done!
03:06:56.875|E|9779   |TRAE  |OutdevMeter    |OutdevMeter[0,0,0,0,0] S[7]
03:07:04.610|E|8836   |GMESes|Term           |Session Term
03:07:04.610|E|8836   |Entry |RefPlayout     |refPlayout[0] current[0,1]
03:07:04.611|E|8836   |Entry |EnablePlayout  |playout[0]
03:07:04.621|E|8838   |Device|SetScene       |scene[7]
03:07:04.621|E|8838   |Device|UninitAudEngine|Begin
03:07:04.661|E|8838   |TRAE  |InternalUninitE|TRAE: UninitEngine() [0x1850080] 
03:07:04.662|E|8838   |Device|UninitAudEngine|End
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 1, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 2, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 3, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 4, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 5, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 6, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 7, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 8, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 9, Accompany already exit 
03:07:04.663|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 10, Accompany already exit 
03:07:04.664|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 0, Accompany already exit 
03:07:09.344|E|8836   |GMESes|Init           |Session Init [48000, 32, 8, 1, 1] [2, 1, 3]
03:07:09.344|E|8836   |Entry |RefPlayout     |refPlayout[1] current[0,0]
03:07:09.344|E|8836   |Entry |EnablePlayout  |playout[1]
03:07:09.350|E|8838   |Device|SetScene       |scene[7]
03:07:09.350|E|8838   |Device|InitAudEngine  |
03:07:09.353|E|8838   |TRAE  |StartEngine    |StartEngine, AudioDeviceGetStat: 2
03:07:09.362|E|8838   |TRAE  |onEngineStart  |CALL isEngineReady:N isJitterReady:Y isCapReady:N isRndReady:N 
03:07:09.362|E|8838   |TRAE  |EnableMic      |[CQTTopo]EnableMic: off 
03:07:09.362|E|8838   |TRAE  |EnableSpeaker  |[CQTTopo]EnableSpeaker: on 
03:07:09.363|E|10057  |GMEJav|nativeWriteLog |[TRAEJava]call_preprocess_media done!
03:07:13.484|E|8836   |GMESes|Term           |Session Term
03:07:13.485|E|8836   |Entry |RefPlayout     |refPlayout[0] current[0,1]
03:07:13.485|E|8836   |Entry |EnablePlayout  |playout[0]
03:07:13.490|E|8838   |Device|SetScene       |scene[7]
03:07:13.490|E|8838   |Device|UninitAudEngine|Begin
03:07:13.517|E|8838   |TRAE  |InternalUninitE|TRAE: UninitEngine() [0x1850080] 
03:07:13.518|E|8838   |Device|UninitAudEngine|End
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 1, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 2, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 3, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 4, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 5, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 6, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 7, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 8, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 9, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 10, Accompany already exit 
03:07:13.519|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 0, Accompany already exit 
03:07:26.813|E|8836   |GMESes|Init           |Session Init [48000, 32, 8, 1, 1] [2, 1, 3]
03:07:26.813|E|8836   |Entry |RefPlayout     |refPlayout[1] current[0,0]
03:07:26.813|E|8836   |Entry |EnablePlayout  |playout[1]
03:07:26.815|E|8838   |Device|SetScene       |scene[7]
03:07:26.815|E|8838   |Device|InitAudEngine  |
03:07:26.820|E|8838   |TRAE  |StartEngine    |StartEngine, AudioDeviceGetStat: 2
03:07:26.830|E|8838   |TRAE  |onEngineStart  |CALL isEngineReady:N isJitterReady:Y isCapReady:N isRndReady:N 
03:07:26.830|E|8838   |TRAE  |EnableMic      |[CQTTopo]EnableMic: off 
03:07:26.831|E|8838   |TRAE  |EnableSpeaker  |[CQTTopo]EnableSpeaker: on 
03:07:26.831|E|10414  |GMEJav|nativeWriteLog |[TRAEJava]call_preprocess_media done!
03:07:27.575|E|8836   |GMESes|Term           |Session Term
03:07:27.575|E|8836   |Entry |RefPlayout     |refPlayout[0] current[0,1]
03:07:27.575|E|8836   |Entry |EnablePlayout  |playout[0]
03:07:27.582|E|8838   |Device|SetScene       |scene[7]
03:07:27.582|E|8838   |Device|UninitAudEngine|Begin
03:07:27.620|E|8838   |TRAE  |InternalUninitE|TRAE: UninitEngine() [0x1850080] 
03:07:27.621|E|8838   |Device|UninitAudEngine|End
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 1, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 2, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 3, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 4, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 5, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 6, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 7, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 8, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 9, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 10, Accompany already exit 
03:07:27.622|E|8838   |TRAE  |StopAccompany  |[Info][Accompany] m_nIndex 0, Accompany already exit 
